id,title,detail__labels,detail__author_id,detail__id,detail__summary,detail__tagline,detail__text,detail__title,detail__value
4:d8df8010-334e-4fc6-b969-519394614559:5097,SUBJECT,,author-0084,"""-Ob8B6CTS4Drwrs1SUpM""",,"""“Politics and People: Bridging the Gap”. Many feel disconnected from politics, believing decision-makers aren’t hearing their real needs. Let’s explore how politicians could better listen, understand and act on public opinion. This discussion invites you to share creative solutions, tools, or approaches that could strengthen the connection between citizens and policymakers — so voices are truly heard and acted upon.""",,"""What would you ask policymakers to focus on that is more relevant to you?""",
4:d8df8010-334e-4fc6-b969-519394614559:5098,POSITION,,author-0050,"""-ObCGXgU1tVrBhbJkJXO""",,,"""There is significant technological innovation available today that could greatly enhance policymaking by improving how governments listen to and respond to citizens' needs. At the local level, for instance, dedicated apps could allow residents to flag issues in real time — from school facilities and street maintenance to public transportation and health services. Such tools would create more direct and transparent communication channels between citizens and public administrations, speeding up problem-solving and enabling people to see tangible, timely results from government action.""",,
4:d8df8010-334e-4fc6-b969-519394614559:5089,INFAVOR,,author-0100,"""-ObC_jKmf8Jx25fVowCK""",,,"""improving the way we communicate to policymakers will improve how we work with them to achieve common goals. But if there are tools like that I do not know them.where can I find them?""",,
4:d8df8010-334e-4fc6-b969-519394614559:5090,CLUSTER,,,"""-ObCGXgU1tVrBhbJkJXO_argument_for_0""","""i agree, accountability and feedback mechanisms should be strengthened in our democratic system. i agree because technology can really help citizens communicate better with public administrations. but these tools should be simple to' use that everyone can access them improving the way we communicate to policymakers will improve how we work with them to achieve common goals. but if there are tools like that i do not know them.""",,,"""Enhancing Governance Through Technology: Fostering Greater Civic Engagement and Trust in Public Institutions""",
4:d8df8010-334e-4fc6-b969-519394614559:4121,ENTITY,,,,,,,,"""policymakers"""
4:d8df8010-334e-4fc6-b969-519394614559:2202,ENTITY,,,,,,,,"""communication"""
4:d8df8010-334e-4fc6-b969-519394614559:4599,ENTITY,,,,,,,,"""work"""
4:d8df8010-334e-4fc6-b969-519394614559:4270,ENTITY,,,,,,,,"""common goals"""
4:d8df8010-334e-4fc6-b969-519394614559:5073,ENTITY,,,,,,,,"""tools"""
4:d8df8010-334e-4fc6-b969-519394614559:5074,ENTITY,,,,,,,,"""finding"""
4:d8df8010-334e-4fc6-b969-519394614559:5075,INFAVOR,,author-0014,"""-ObDAU8bMFO2-eoiD5o3""",,,"""perchè una continua ed assidua segnalazione dei cittadini può spongere ad una più veloce realzione delle istituzioni""",,
4:d8df8010-334e-4fc6-b969-519394614559:5078,ENTITY,,,,,,,,"""realzione delle istituzioni"""
4:d8df8010-334e-4fc6-b969-519394614559:5076,ENTITY,,,,,,,,"""segnalazione dei cittadini"""
4:d8df8010-334e-4fc6-b969-519394614559:5079,AGAINST,,author-0014,"""-ObDAU8kU9h5Q6GtLGmH""",,,"""perchè è irrilevante la comunicazione se non segue l'azione.""",,
4:d8df8010-334e-4fc6-b969-519394614559:5082,INFAVOR,,author-0050,"""-ObDHNsGcN_ZX0913c_i""",,,"""I agree, accountability and feedback mechanisms should be strengthened in our democratic system. """,,
4:d8df8010-334e-4fc6-b969-519394614559:5084,ENTITY,,,,,,,,"""democratic system"""
4:d8df8010-334e-4fc6-b969-519394614559:5083,ENTITY,,,,,,,,"""accountability mechanisms"""
4:d8df8010-334e-4fc6-b969-519394614559:5086,ENTITY,,,,,,,,"""feedback mechanisms"""
